month,mrr,arr,active_customers,starting_customers,new_customers,net_customer_adds,arpu,customer_churn_rate,revenue_churn_rate,ltv_raw,churned_customers,starting_mrr,churned_mrr,mrr_growth_rate,arpu_growth_rate,active_customer_growth_rate,customer_churn_caution,revenue_churn_caution,customer_churn_rate_smoothed_6p,ltv,ltv_caution
2023-01-01,4684,56208,2,0,2,1,2342.0,,,,1,0,4498,,,,True,True,,,True
2023-02-01,21234,254808,10,2,9,9,2123.4,0.0,0.0,,0,4684,0,3.5333048676345005,-0.09333902647309988,4.0,True,True,,,True
2023-03-01,47152,565824,19,10,16,11,2481.684210526316,0.5,6.833945559009137,3970.6947368421056,5,21234,145112,1.220589620420081,0.1687313791684637,0.8999999999999999,True,True,,,True
2023-04-01,99075,1188900,33,19,25,21,3002.2727272727275,0.21052631578947367,1.658317780794028,11408.636363636366,4,47152,78193,1.1011834068544282,0.20977226455254971,0.736842105263158,True,True,0.23684210526315788,10141.010101010103,True
2023-05-01,180167,2162004,44,33,26,23,4094.7045454545455,0.09090909090909091,0.8724400706535453,36033.4,3,99075,86437,0.8184910421397931,0.36386828160484463,0.33333333333333326,False,False,0.20035885167464115,16349.482985074628,False
2023-06-01,262751,3153012,64,44,36,31,4105.484375,0.11363636363636363,0.6615417917820688,28902.610000000004,5,180167,119188,0.45837473011150776,0.002632626951661443,0.4545454545454546,False,False,0.18301435406698566,17946.06503267974,False
2023-07-01,431481,5177772,80,64,45,39,5393.5125,0.09375,0.3329083428797607,46024.64000000001,6,262751,87472,0.6421669184893684,0.31373353479149446,0.25,False,False,0.16813696172248804,25662.471569586483,False
2023-08-01,637938,7655256,105,80,63,57,6075.6,0.075,0.31834773721206727,64806.40000000001,6,431481,137361,0.4784845682660419,0.1264644329646034,0.3125,False,False,0.18063696172248803,26907.449913086668,False
2023-09-01,800832,9609984,120,105,51,45,6673.6,0.05714285714285714,0.21380761139797283,93430.40000000002,6,637938,136396,0.2553445632647686,0.09842649285667249,0.1428571428571428,False,False,0.10682743791296423,49976.67363650301,False
2023-10-01,969423,11633076,135,120,65,55,7180.9111111111115,0.08333333333333333,0.3071193458802845,68936.74666666669,10,800832,245951,0.2105198093982259,0.07601760835397853,0.125,False,False,0.0856286075036075,67088.89769866766,False
2023-11-01,1212761,14553132,152,135,86,71,7978.690789473684,0.1111111111111111,0.2048404050656937,57446.57368421053,15,969423,198577,0.25101323158208544,0.11109727804987846,0.125925925925926,False,False,0.08899561087061086,71722.10594586523,False
2023-12-01,1437404,17248848,168,152,93,77,8555.97619047619,0.10526315789473684,0.2969991614176247,65025.419047619056,16,1212761,360189,0.185232704547722,0.07235339935270102,0.10526315789473695,False,False,0.08760007658033975,78136.70055531824,False
2024-01-01,1640763,19689156,188,168,103,79,8727.462765957447,0.14285714285714285,0.34749242384187046,48873.79148936171,24,1437404,499487,0.14147657860977159,0.0200429000342639,0.11904761904761907,False,False,0.09578460038986354,72892.40842836809,False
2024-02-01,1918175,23018100,200,188,111,100,9590.875,0.05851063829787234,0.17076323637234628,131133.41818181818,11,1640763,280182,0.16907499742497856,0.0989304975794798,0.06382978723404253,False,False,0.09303637343950893,82469.89555099858,False
2024-03-01,2190323,26283876,214,200,146,119,10235.154205607476,0.135,0.31350059301158656,60652.765662859114,27,1918175,601349,0.1418786085732533,0.0671762696946292,0.07000000000000006,False,False,0.10601256391569941,77237.29209112545,False
2024-04-01,2594888,31138656,220,214,137,112,11794.945454545454,0.11682242990654206,0.21812399358450785,80771.78647272727,25,2190323,477762,0.18470563473971646,0.152395481064997,0.028037383177569986,False,False,0.11159408001123418,84556.06572218209,False
2024-05-01,2925730,35108760,234,220,168,141,12503.119658119658,0.12272727272727273,0.22574962772959759,81501.81703070592,27,2594888,585795,0.12749760297939638,0.06004048143362062,0.06363636363636371,False,False,0.11353010694726114,88104.34514205337,False
2024-06-01,3124216,37490592,240,234,168,127,13017.566666666668,0.1752136752136752,0.2619941006176236,59436.30439024392,41,2925730,766524,0.06784153014803151,0.04114549189433081,0.02564102564102555,False,False,0.12518852650041754,83186.96309041229,False
2024-07-01,3442194,41306328,248,240,217,180,13879.814516129032,0.15416666666666667,0.25410342946838504,72024.98343504795,37,3124216,793874,0.10177849418862195,0.06623725244060186,0.03333333333333344,False,False,0.12707344713533816,87381.3677304055,False
2024-08-01,3409896,40918752,243,248,212,168,14032.493827160493,0.1774193548387097,0.33649497965541747,63273.790347923685,44,3442194,1158281,-0.009382969117952111,0.011000097361102412,-0.020161290322580627,False,False,0.14689156655881105,76423.68670112752,False
2024-09-01,3642961,43715532,244,243,248,193,14930.168032786885,0.22633744855967078,0.3660096964834118,52771.357555886745,55,3409896,1248055,0.06834959189371181,0.0639711099597211,0.004115226337448652,False,False,0.16211447465208953,73677.16209093954,False
2024-10-01,3527314,42327768,228,244,273,197,15470.67543859649,0.3114754098360656,0.39053066996874247,39735.20849492151,76,3642961,1422688,-0.03174533024097703,0.03620236588246306,-0.06557377049180324,False,False,0.1945566379736768,63614.07392613208,False
2024-11-01,3831752,45981024,219,228,300,216,17496.584474885844,0.3684210526315789,0.38643596799150853,37992.58343118069,84,3527314,1363081,0.08630873236689451,0.13095155698471195,-0.03947368421052633,False,False,0.23550560129106113,59434.96674038537,False
2024-12-01,3019740,36236880,148,219,335,195,20403.64864864865,0.639269406392694,0.7107012666790544,25533.708880308885,140,3831752,2723231,-0.21191663761120239,0.16615038083207234,-0.32420091324200917,False,False,0.31284822315423094,52175.200978756686,False
